68021536 8
68021544 8
68021552 8
68021560 8
68021584 56
68021640 56
68021696 56
68021752 56
68021808 56
68021864 56
68021920 56
68024496 126712
68024544 73728
68090920 64600
68098272 73728
68151208 124608
68155520 3328
68158848 66832
68172000 768
68172768 73728
68225680 5304
68230984 4552
68235552 65520
68246496 768
68247264 768
68248032 8
68275816 1232
68277048 125632
68301072 63992
68365064 3120
68368184 64424
68402680 1088
68403768 1488
68405256 16
68405280 126136
68432608 4512
68437120 5016
68442144 65520
68507664 63992
68531416 121528
68571656 3120
68574776 64424
68639200 4512
68643712 5016
68652944 1560
68654504 124136
68703552 80896
68778640 1208
68779848 1448
68781296 8
68781312 126136
68784448 80952
68865400 2032
68867432 80776
68907448 121528
68948208 3984
68952192 3664
68955872 80896
69028976 1560
69030536 124136
69036768 80952
69117720 2032
69119752 80776
69154672 1208
69155880 1448
69157328 8
69200528 3984
69204512 3664
69208192 87624
69295816 87664
69383480 2912
69386392 90088
69476480 3160
69479640 4488
69484144 87624
69513728 44344
69558072 40992
69571768 87664
69599064 352
69599416 44752
69644168 952
69645120 936
69646064 44344
69656304 145096
69659432 2912
69662344 90088
69670176 7808
69677984 16872
69690408 40992
69694856 17856
69712712 4864
69717576 11640
69729216 8104
69730032 73728
69731400 352
69731752 44752
69737320 15688
69752432 3160
69753008 20760
69755592 4488
69773768 4528
69776504 952
69777456 936
69778296 15136
69793432 19544
69801400 141112
69803760 768
69804528 73728
69812976 3624
69816600 7960
69824560 6008
69830568 8336
69838904 4856
69843760 4472
69848232 5680
69878256 768
69879024 768
69879792 8
69879808 2880
69882688 2848
69885536 24
69885560 2736
69888296 56
69888352 56
69942512 31528
69974040 155232
70129272 34840
70164112 37248
70177328 7688
70181648 6376
70183504 6104
70185016 7464
70188024 1280
70189304 6912
70189608 200
70189808 6200
70192480 2992
70195472 7936
70196008 296
70196216 1240
70196304 304
70196624 1048
70197456 576
70197672 1048
70198720 416
70199136 1064
70200200 360
70200560 416
70200976 104
70201088 992
70201360 4104
70202080 1008
70203088 408
70203408 2712
70203496 1136
70204632 360
70204992 424
70205416 136
70205568 144
70205712 72
70205784 168
70205952 120
70206072 32
70206104 104
70206120 3104
70206208 48
70206256 176
70206432 144
70206576 24
70206600 120
70206720 96
70206816 16
70206832 48
70206880 32
70206912 72
70206984 32
70207016 32
70207048 32
70208112 1432
70209224 776
70209544 1432
70210976 72
70211048 1440
70212488 72
70212560 104
70213936 1224
70214224 280
70214504 32
70214536 392
70214928 48
70214976 32
70215696 8
70215704 8
70215712 8
70215720 8
70215728 8
70215736 8
70216992 16
70217008 16
70217024 16
70217040 16
70217056 16
